,sta0_datasz,sta1_datasz,sta3_datasz,sta4_datasz,sta2_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta10_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta6,training_time_sta6,host_consumption_sta2,training_time_sta2,host_consumption_sta1,training_time_sta1,host_consumption_sta7,training_time_sta7,host_consumption_sta5,training_time_sta5,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta3,consumption_sta1,consumption_sta5,consumption_sta7,consumption_sta0,consumption_sta6,mean_acc,host_consumption_sta10,training_time_sta10,host_consumption_sta9,training_time_sta9
10,,,,,,,,,,,,6.360477888597973e-08,74966910.0,0.6823899745941162,72207701.0,0.6190128326416016,102817181.0,0.9531118869781494,143994260.0,1.3131203651428223,139494089.0,1.2409038543701172,159925067.0,1.5727858543395996,151414773.0,1.4100425243377686,,,151102396.0,1.3988258838653564,5149.210615247097,4600.7940119066125,4905.573054562927,4960.172699657035,4789.8155628116065,4033.9095250850414,3922.632218194925,4200.46292301949,4120.4039762760285,3941.135566751844,4526.349256323696,0.8805056160146539,,,162564953.0,1.7779474258422852
11,,,,,,,,,,,,7.755037399554481e-08,70388308.0,0.647843599319458,79597452.0,0.6897857189178467,112895219.0,1.0395152568817139,149461409.0,1.3624398708343506,148438402.0,1.330845594406128,,,104155068.0,0.9545369148254395,152531714.0,1.3883447647094727,176942296.0,1.9435555934906006,5622.171745139087,4988.696234629447,5287.136442659776,5427.702483802281,5188.536303826684,4448.2254308387055,4178.376380633144,4628.107303750718,4370.085602209408,4263.206276770546,4963.717134150669,0.8904494859955527,141117742.0,1.2427113056182861,163063731.0,1.6470959186553955
12,,,,,,,,,,,,7.138231150378489e-08,71551819.0,0.7089889049530029,65442765.0,0.617417573928833,148920395.0,1.4840126037597656,141888125.0,1.375321865081787,167283385.0,1.7275159358978271,164255867.0,1.669523000717163,152114967.0,1.5112648010253906,176069740.0,2.0368409156799316,155453947.0,1.5082919597625732,6133.595236173604,5405.3850048948325,5705.456984557883,5794.362439430297,5567.171493013831,4803.532144466091,4635.303437065733,4963.049075473525,4782.083329794716,4589.068063521954,5383.793145077854,0.8973218094218861,,,161833326.0,1.6278917789459229
13,,,,,,,,,,,,8.879547220562821e-08,61593593.0,0.577031135559082,75171560.0,0.6539850234985352,101946394.0,0.9651679992675781,134471824.0,1.2625396251678467,156880763.0,1.6322972774505615,153539036.0,1.5592551231384277,146227348.0,1.4406087398529053,135791401.0,1.256005048751831,,,6514.406226539327,5752.815755695588,5963.701695316738,6203.767201552233,5816.9042532376725,5137.625715811549,4930.323110648339,5290.806452846642,5014.6070545306575,4776.759299736234,5677.370193270393,0.9017786112698641,,,150977274.0,1.5398056507110596
14,,,,,,,,,,,,8.486368106918372e-08,74407891.0,0.710909366607666,86634300.0,0.7862627506256104,114010024.0,1.0923256874084473,155492522.0,1.4463720321655273,148334399.0,1.354475736618042,157466272.0,1.4758496284484863,112743974.0,1.0714774131774902,180619227.0,2.0290439128875732,161121292.0,1.5080292224884033,7001.084924045094,6095.140467014313,6540.71314638991,6677.813301502918,6316.379256314654,5541.164924433647,5114.0901094261235,5559.560048359387,5276.464360891989,5165.109335226181,6061.859218784953,0.9066055037758567,,,166163638.0,1.6657483577728271
15,,,,,,,,,,,,7.59694599087576e-08,67106517.0,0.6145534515380859,71837218.0,0.6198301315307617,104418861.0,0.9777779579162598,,,147950488.0,1.6051177978515625,136364397.0,1.3220388889312744,96994442.0,0.8999745845794678,136904190.0,1.3069603443145752,158423911.0,1.9160144329071045,7519.743188172264,6316.639453172296,6792.628643883987,7144.553773280418,6572.085092242055,5937.919589201315,5324.209123387816,5983.39938409111,5456.012049596125,5408.899598271893,6349.385383442361,0.9092006791721691,129801181.0,1.2189834117889404,,
16,,,,,,,,,,,,6.262768732236715e-08,74960258.0,0.6883318424224854,75621694.0,0.6547398567199707,101447250.0,0.9400899410247803,137654494.0,1.2895281314849854,158453818.0,1.6428618431091309,161100173.0,1.6785662174224854,104935278.0,0.9462451934814453,139225047.0,1.2919738292694092,,,7768.551379537265,6736.397455747406,7232.464262827533,7611.847573208254,7014.804559400047,6190.473656081743,5668.557468769428,6166.693963652119,5763.817836219546,5804.734186589186,6685.194906918129,0.9150063774802468,,,152987829.0,1.5588700771331787
17,,,,,,,,,,,,8.200834516720658e-08,71065614.0,0.6571395397186279,79647379.0,0.6909608840942383,160079668.0,1.4880638122558594,183720233.0,1.9777894020080566,169487054.0,1.6223413944244385,165186467.0,1.5233104228973389,114269117.0,1.0488512516021729,149491195.0,1.3205487728118896,163747689.0,1.4835152626037598,8138.574389509409,7171.792233662389,7702.470120635384,7873.331151525584,7510.5046836855645,6374.595365923605,5929.015415241173,6496.347457583557,6146.494042439003,6196.660886813909,7074.761646676276,0.9192335117946971,,,174259014.0,1.8190250396728516
18,,,,,,,,,,,,7.932863832725797e-08,82949433.0,0.7387003898620605,78459272.0,0.6603598594665527,114636914.0,1.0411677360534668,156978358.0,1.3948776721954346,172754867.0,1.669631004333496,165131596.0,1.4928503036499023,161627943.0,1.46091890335083,184230974.0,2.0339784622192383,165176030.0,1.4707200527191162,8596.18733088619,7496.346804948427,8053.214833265048,8316.005365933961,7887.8099549681665,6685.489685532926,6278.833552173098,6848.485224597733,6493.817893088602,6496.480368518856,7410.459026962885,0.9227577447891235,138149976.0,1.159843921661377,,
19,,,,,,,,,,,,8.173303280472493e-08,78007491.0,0.7286114692687988,79201763.0,0.7001941204071045,161971754.0,1.5056781768798828,182474997.0,1.9853463172912598,146344169.0,1.3010828495025635,169512627.0,1.5937156677246094,112733415.0,1.0519111156463623,158281699.0,1.4119980335235596,160952652.0,1.4542040824890137,9027.530527590581,7902.9604631591565,8375.662567655778,8806.01810581832,8263.80254906797,7069.979737903804,6472.536688040277,7187.833418242589,6751.518790520082,6762.851276474034,7734.191580389432,0.9261367646130648,147637378.0,1.289384365081787,,
