,sta0_datasz,sta1_datasz,sta2_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta10_datasz,sta9_datasz,T,host_consumption_sta8,training_time_sta8,host_consumption_sta4,training_time_sta4,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta2,training_time_sta2,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta9,consumption_sta6,consumption_sta0,consumption_sta1,consumption_sta5,consumption_sta3,consumption_sta7,consumption_sta2,mean_acc,host_consumption_sta3,training_time_sta3,host_consumption_sta9,training_time_sta9,host_consumption_sta7,training_time_sta7,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta10,training_time_sta10
30,,,,,,,,,,,,1.0539160448196111e-07,51624624.0,0.7048511505126953,38378564.0,0.514404296875,,,81410864.0,1.2439932823181152,79051372.0,1.1821894645690918,11710.024998958594,10227.677742920036,11270.107726773953,10887.90947333639,9473.423122967815,8376.403056884921,8516.024031454477,8989.683403760238,8812.159957773165,8405.673965869508,11148.281704759409,0.919264939698306,94816042.0,1.704143762588501,,,,,,,99026969.0,1.9124600887298584,,
31,,,,,,,,,,,,8.290826826613948e-08,,,,,,,56964942.0,0.7706050872802734,90174451.0,1.371812105178833,12135.74953024113,10440.828812931593,11555.534202518635,11140.356124619915,9750.26145445308,8625.403327153768,8738.650504646055,9275.71434994133,9107.53363198549,8549.826404560183,11577.836767101886,0.9403829791329124,97684442.0,1.6434125900268555,,,75491506.0,1.031510591506958,91182506.0,1.4290754795074463,,,,
32,,,,,,,,,,,,6.721340305855457e-08,,,33195472.0,0.4794952869415283,85107814.0,1.519791603088379,87011069.0,1.5745463371276855,,,12370.000217130635,10787.878789743145,11940.927725792733,11506.946085929098,9958.742962090602,9012.383427422292,8992.655951472561,9468.465310476537,9306.795079078605,8773.88848392909,11974.548671797358,0.932652240449732,100175952.0,2.0364394187927246,,,67272289.0,1.0381443500518799,,,92907477.0,1.757152795791626,,
33,,,,,,,,,,,,8.181362709129618e-08,,,53694503.0,0.5238101482391357,74866874.0,0.7677762508392334,77862411.0,0.8168976306915283,107004486.0,1.3757662773132324,12825.814784197179,11088.411941876368,12151.81474073652,11835.408748921276,10253.667139552945,9176.107486351135,9144.732305496223,9760.3329842204,9576.389834796715,9100.425323185385,12192.360249872036,0.917197666384957,95067200.0,1.076181173324585,,,,,109172145.0,1.5273969173431396,,,,
34,,,,,,,,,,,,1.0581919833035688e-07,54967938.0,0.502753496170044,,,116358955.0,1.2597267627716064,81509862.0,0.8181502819061279,,,13178.397329685857,11297.410048363778,12556.964343895583,12101.781781974047,10489.268929453818,9562.884426934676,9534.071367456288,9957.589723198938,9977.184239355913,9285.467829536135,12652.432615245549,0.94066598740491,106357211.0,1.0683202743530273,,,,,105417943.0,1.038360595703125,112111712.0,1.1601340770721436,,
35,,,,,,,,,,,,8.963248018438741e-08,,,34576755.0,0.5457000732421875,,,75572866.0,1.3433940410614014,78647137.0,1.4234919548034668,13597.21889660939,11723.875273602796,12978.275975906308,12501.789140279368,10791.13538114168,9836.415742305373,9689.387093601825,10226.053151806362,10145.11075473999,9592.728463575482,12906.0191060235,0.9020508365197615,85728907.0,1.7128736972808838,,,,,61516077.0,0.9727804660797119,,,,
36,,,,,,,,,,,,9.402130758084905e-08,,,29640489.0,0.6028375625610352,59412629.0,1.3481690883636475,61740381.0,1.4085333347320557,63835468.0,1.4594411849975586,14023.003273932783,11926.488544695603,13233.147425955143,12729.00321988331,11049.779612207603,10126.993914986324,9898.558459803211,10507.50562621902,10423.334047400127,9740.612503733102,13278.140986986786,0.9554689580743964,,,,,76119800.0,1.974635362625122,,,75768910.0,1.9365503787994385,,
37,,,,,,,,,,,,1.3477911615291154e-07,,,,,55952737.0,0.753044605255127,91705637.0,1.3983137607574463,,,14288.875215343036,12226.225492105723,13472.788007902682,13105.173682980381,11384.777147026878,10319.300661428784,10057.354776447022,10708.749033198914,10595.228252643441,9979.327413321991,13494.63920463465,0.9449297785758972,105938083.0,1.8666019439697266,,,79367534.0,1.0936667919158936,94411807.0,1.4934804439544678,104197182.0,1.8238017559051514,,
38,,,,,,,,,,,,9.138183589687606e-08,,,,,118208987.0,1.2683885097503662,80958838.0,0.8344643115997314,122109978.0,1.386831521987915,14655.297864408934,12406.857015781461,13868.597794641159,13353.35438654194,11691.83960687509,10573.671528631923,10323.695234069457,11005.295192930922,10898.574353251091,10321.027636597284,13843.419775294005,0.9075689261609857,111802692.0,1.126702070236206,,,108544217.0,1.0581367015838623,108026152.0,1.056288480758667,,,,
39,,,,,,,,,,,,1.6409138818630724e-07,,,33789098.0,0.4871826171875,91332469.0,1.536928415298462,,,,,14976.319339316136,12707.160285858483,14268.25234549768,13780.142070458978,11907.011827787263,10919.676627998997,10589.369677802435,11219.668332399991,11178.238876648827,10480.462002956281,14232.606672440863,0.921136124567552,104431251.0,2.013906240463257,,,99499196.0,1.8572032451629639,89013078.0,1.4736905097961426,77902205.0,1.1829917430877686,,
