,sta0_datasz,sta2_datasz,sta1_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta10_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta0,training_time_sta0,host_consumption_sta1,training_time_sta1,host_consumption_sta10,training_time_sta10,host_consumption_sta7,training_time_sta7,host_consumption_sta3,training_time_sta3,host_consumption_sta6,training_time_sta6,host_consumption_sta2,training_time_sta2,host_consumption_sta5,training_time_sta5,host_consumption_sta9,training_time_sta9,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta0,consumption_sta5,consumption_sta3,consumption_sta7,consumption_sta1,mean_acc
30,,,,,,,,,,,,1.0786575775261539e-07,72105346.0,0.6582291126251221,78327070.0,0.6683735847473145,113081314.0,1.0387508869171143,157666405.0,1.4674324989318848,141641361.0,1.2326712608337402,154430757.0,1.3915414810180664,148076648.0,1.3449835777282715,168189877.0,1.6511600017547607,167537962.0,1.6254987716674805,,,165671817.0,1.634903907775879,12917.747162843867,11377.126937456755,12673.5847038485,12021.060428160477,12289.469302429272,10916.909365977946,9379.96531903912,9816.525824981423,9070.361475225876,9430.556811236833,8174.460409988754,0.9551907181739807
31,,,,,,,,,,,,1.2562449777531775e-07,71195131.0,0.6440010070800781,75475393.0,0.6469118595123291,102936016.0,0.9504714012145996,99864490.0,0.9126319885253906,125239059.0,1.1269009113311768,165552676.0,1.9356508255004883,139206858.0,1.3099312782287598,,,,,145464227.0,1.3865790367126465,150883342.0,1.5402278900146484,13309.142510181387,11614.188647649802,12963.669189097795,12457.701295486066,12538.665555033163,11250.47909709742,9794.438743424456,10096.194397109442,9431.020557955768,9692.70099233422,8462.073934424998,0.9618283835324374
32,,,,,,,,,,,,9.845188547252705e-08,70995424.0,0.7842638492584229,70096745.0,0.7427990436553955,85432093.0,0.9806573390960693,80108743.0,0.9069440364837646,,,,,130290926.0,1.8693482875823975,124862534.0,1.7554996013641357,118207644.0,1.5966999530792236,135337239.0,2.0678865909576416,125903609.0,1.814720630645752,13604.438916233397,12048.024856835556,13446.566042393302,12819.205028854649,13028.082147707893,11452.359555182395,10201.615940495101,10291.58585009931,9839.575399646243,9956.583427272148,8803.428485750128,0.9461462551897223
33,,,,,,,,,,,,8.823796701909915e-08,82396396.0,0.7237982749938965,90930248.0,0.7546801567077637,118680604.0,1.0652878284454346,109260768.0,0.9756278991699219,147296803.0,1.3120033740997314,145992302.0,1.2983899116516113,174147809.0,1.8813564777374268,165609256.0,1.6422507762908936,167161376.0,1.650101661682129,157205652.0,1.4404621124267578,,,14078.025242117268,12439.445753326298,13831.149995895545,13250.33057356265,13468.322788584199,11795.30158224536,10523.686714252344,10602.423831886279,10137.073278878283,10221.749968024918,9164.621743484187,0.9693964232097972
34,,,,,,,,,,,,1.1622514668009953e-07,63040549.0,0.6937282085418701,69761235.0,0.716280460357666,,,129232213.0,1.4083786010742188,125358505.0,1.3118760585784912,125829390.0,1.3083674907684326,131671599.0,1.4251937866210938,137990736.0,1.6607966423034668,127716714.0,1.3802025318145752,145521173.0,1.9379839897155762,,,14474.912711045128,12855.923341095633,14265.078644157475,13630.757200299886,13865.746143616116,12182.779543968669,10857.719841586515,10946.241925689228,10426.358534372417,10607.073928855334,9393.74978829306,0.956536742773923
35,,,,,,,,,,,,9.023934572989811e-08,75951526.0,0.7255814075469971,78566632.0,0.6969597339630127,165277348.0,1.6038768291473389,108376737.0,1.0004072189331055,144757564.0,1.2659013271331787,154929291.0,1.3946888446807861,181809654.0,2.0509159564971924,149954511.0,1.3500213623046875,,,160063982.0,1.4779958724975586,170133537.0,1.7766356468200684,14879.26341988012,13218.405554822568,14656.438836073172,13880.774146447806,14252.026969287506,12492.945489943459,11061.257551767718,11212.787767364236,10600.482322299973,10936.397817320747,9541.929522644084,0.9629995226860046
36,,,,,,,,,,,,1.2054024588178672e-07,67664012.0,0.6410884857177734,73425105.0,0.65389084815979,152211525.0,1.5177767276763916,150808391.0,1.4818172454833984,131960966.0,1.1772217750549316,171618091.0,1.9960060119628906,145237665.0,1.3709704875946045,138279188.0,1.270124912261963,,,170804372.0,1.9569129943847656,156261685.0,1.5897789001464844,15297.91435887709,13567.358176484964,15067.715850369095,14272.23849466244,14628.100590153384,12887.150098062766,11337.143404523309,11598.062245945875,10905.28336695858,11289.213287551593,9749.253509028073,0.9585829864848744
37,,,,,,,,,,,,1.2079690174641354e-07,62858237.0,0.6403987407684326,80390846.0,0.7784245014190674,141584232.0,1.5187809467315674,141971988.0,1.5186738967895508,,,161807264.0,2.0043187141418457,158558004.0,1.9020397663116455,126226545.0,1.25825834274292,136545793.0,1.4177806377410889,163801949.0,2.0329201221466064,156108060.0,1.8894801139831543,15704.511312859117,13796.553793723991,15346.756929022722,14624.000353842957,14875.257477619272,13251.573194528482,11537.566236584544,11889.07405553839,11275.239480586475,11528.739739860204,9995.56852026597,0.9471390030600808
38,,,,,,,,,,,,1.2796592217946487e-07,82547702.0,0.7648651599884033,77748947.0,0.6874103546142578,111362508.0,1.0454294681549072,165118351.0,1.5058026313781738,,,163659066.0,1.44203519821167,154763825.0,1.389702320098877,162076428.0,1.4312794208526611,165007268.0,1.4967186450958252,187607491.0,2.023386240005493,171924730.0,1.6345791816711426,15980.884727252023,14123.983493298067,15741.528605871827,14913.666911428925,15309.428964392859,13468.862863395816,11797.068371072555,12084.238418360974,11445.061895207065,11708.756083493756,10246.577987187062,0.9489075433124196
39,,,,,,,,,,,,1.0445173038144574e-07,72429258.0,0.6886866092681885,,,145423822.0,1.4548845291137695,93115302.0,0.9026548862457275,,,132189908.0,1.2369976043701172,165324528.0,1.8508250713348389,156451321.0,1.6223902702331543,142834595.0,1.4013724327087402,167404356.0,1.9326789379119873,151514261.0,1.5479035377502441,16442.16880265484,14417.61934615136,16005.967725049964,15295.962090737372,15640.10549371415,13907.388659404049,11949.383753943544,12444.207723510583,11711.458966628521,11996.16993856368,10389.987377143823,0.9468110041184858
