,sta0_datasz,sta10_datasz,sta2_datasz,sta3_datasz,sta1_datasz,sta4_datasz,sta5_datasz,sta8_datasz,sta9_datasz,sta6_datasz,sta7_datasz,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta8,consumption_sta4,consumption_sta10,consumption_sta6,consumption_sta9,consumption_sta2,consumption_sta0,consumption_sta7,consumption_sta5,consumption_sta3,consumption_sta1,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta2,training_time_sta2,host_consumption_sta3,training_time_sta3
38,,,,,,,,,,,,,,,,559262362.0,11.341907501220703,734380871.0,20.671902894973755,610855369,13.239935874938965,16916.27821522413,15564.81454679745,17753.788955728167,15509.401829808148,17173.89000345921,15607.892438366403,13996.660217268161,14369.698434365802,15547.946147288061,15362.540418823872,13250.824859732158,0.9515919360247526,475552921.0,9.188024997711182,487292332.0,9.429519653320312,526631404.0,10.40638518333435,733880751.0,20.63790798187256
39,,,,,,,,,,,,,,,,459374922.0,11.136934757232666,514615320.0,13.021602869033813,514537928,13.020307064056396,17345.090477405793,15838.822593178307,18180.240965864185,15930.254722452197,17605.54259610489,15981.843816592067,14314.104324879276,14738.718506299594,15932.645126128367,15712.965668829378,13540.816663837331,0.9423676458272067,423606093.0,10.138870000839233,432874930.0,10.391196727752686,,,531061751.0,13.834628105163574
40,,,,,,,,,,,,146818350.0,3.5303802490234375,,,,,,,437339091,13.472496271133423,17987.29170595186,16380.475601772621,18784.518272028377,16334.896276082301,18226.602745363307,16393.171748856268,14800.096355364123,15174.47804857085,16348.35596557614,16152.67482150042,13996.465884418523,0.9220481677488848,346175078.0,9.740239143371582,353910227.0,10.00562071800232,,,555287031.0,20.589656352996826
41,,,,,,,,,,,,246082133.0,4.0036702156066895,,,596583739.0,11.013411283493042,654892244.0,13.059208631515503,655598115,13.088480472564697,18375.849846080022,16877.925729642975,19176.77989789677,16673.89371578652,18596.518327910348,16855.437741040878,15158.544450740672,15520.716625638102,16678.58175396318,16602.412816696855,14333.14835735117,0.9586588957092979,526584224.0,9.272155523300171,540798238.0,9.571386098861694,568013682.0,10.21394968032837,635750447.0,12.28082823753357
42,,,,,,,,,,,,,,,,461631936.0,11.128559112548828,517536029.0,13.06332802772522,517497699,13.06322956085205,18758.8826608406,17351.250547183547,19592.278375559883,17099.085596257075,18981.006145210933,17236.890074575476,15512.89631586613,15868.384805595006,17055.29197590807,16882.568883068212,14638.546048959302,0.9461114352399652,422815690.0,10.098846435546875,433310048.0,10.343690633773804,,,531519148.0,13.720052003860474
43,,,,,,,,,,,,,,,,458744553.0,11.142211437225342,639599620.0,20.641217470169067,514609950,13.071318626403809,19388.608356224104,17866.682576799154,20077.20391993757,17721.5630868704,19459.484154042675,17630.14675688855,15919.252955891814,16385.82270351471,17631.714358338315,17426.638336349723,15007.269275590395,0.9213106578046625,425013255.0,10.197474956512451,431208612.0,10.381590843200684,,,525761105.0,13.60933542251587
44,,,,,,,,,,,,,,,,,,553000415.0,13.452192783355713,551029778,13.368431329727173,19704.239006447533,18141.784001560587,20492.66237108913,18056.2534163167,19886.13700439624,18019.22679361575,16272.023397583827,16699.52147623679,18001.585588858376,17823.642666423555,15347.052263176764,0.9491733800281178,419767297.0,8.936019659042358,427805912.0,9.1080482006073,450416999.0,9.685479640960693,508774576.0,11.644963026046753
45,,,,,,,,,,,,,,,,,,555568036.0,13.54543423652649,552684743,13.427934408187866,20100.004788801372,18415.39967486085,20887.840298296935,18376.89665595023,20301.369518452713,18539.33880888622,16654.03652673751,17057.662270909743,18348.1699673028,18244.050281942513,15706.98204261836,0.9704447442835028,417732207.0,8.928542375564575,426370063.0,9.131296873092651,450106086.0,9.720653057098389,510217261.0,11.71455979347229
46,,,,,,,,,,,,198410014.0,3.7653465270996094,,,491329186.0,10.670266389846802,551658988.0,12.722280263900757,553726243,12.796419382095337,20531.607456113758,18810.641433549325,21296.406106776147,18763.18121874811,20730.49657178545,18945.57900152498,17000.26137819204,17317.573854060043,18744.823951162904,18626.605234584084,16027.310584179106,0.9668287580663507,475774172.0,10.257854461669922,485136026.0,10.504817485809326,,,572522399.0,13.65631914138794
47,,,,,,,,,,,,,,,,457187550.0,11.129745244979858,511201022.0,13.003138303756714,512425019,13.04782247543335,20960.898226197,19227.13443907749,21712.33334443917,19080.969089095324,21158.609200015373,19227.050175803408,17324.751957458324,17669.404842468855,19132.682497559163,18976.410475682336,16330.121583456646,0.9325122074647383,430270566.0,10.363621473312378,430577694.0,10.371741533279419,,,527224847.0,13.765397310256958
48,,,,,,,,,,,,,,,,459647261.0,11.152766466140747,515219568.0,13.001112222671509,516831136,13.06123971939087,21371.091565159622,19584.021073286352,22111.564814393623,19485.81197227303,21564.02720160436,19512.323914561865,17650.798392463203,18004.671928947584,19428.734943832267,19326.711921363516,16636.720343753732,0.9218941168351606,423576003.0,10.151679039001465,433882434.0,10.409703969955444,,,528437734.0,13.64045786857605
49,,,,,,,,,,,,,,,,563162499.0,11.303452730178833,612702777.0,13.17918062210083,613621049,13.218080282211304,21751.99509546538,19959.127876757997,22507.732546151972,19892.756394725773,21955.776369922947,19942.88841479892,18022.56756402267,18339.456331969737,19909.94398270534,19698.654790621928,16972.090109767818,0.9542610103433783,478185666.0,9.173403978347778,489003021.0,9.390277862548828,513338285.0,9.940977811813354,586526453.0,12.097815990447998
50,,,,,,,,,,,,,,,,398918778.0,10.809167861938477,,,454303951,13.065746545791626,22155.94361306651,20248.434981658003,22911.456447626828,20297.785623703734,22358.545569008766,20321.145439174383,18364.72485039761,18688.882464384395,20181.701126940472,20051.956406456105,17288.434966705365,0.9522403207692233,371257778.0,9.896438837051392,378447883.0,10.10251259803772,,,460940776.0,13.36028790473938
51,,,,,,,,,,,,171234974.0,3.6545751094818115,,,,,490041409.0,12.746961832046509,491251184,12.79879379272461,22547.016951073343,20640.167118312304,23318.70976220876,20657.92515860355,22737.725305893753,20653.105906324738,18680.478725958816,19043.272117821874,20513.667103405176,20332.435250180344,17600.561455806706,0.9354656013575467,404857179.0,9.958588123321533,413894692.0,10.23365068435669,,,506037461.0,13.489157676696777
52,,,,,,,,,,,,,,,,,,460633952.0,13.301514625549316,457356312,13.184840440750122,22943.527642043857,21097.66618100581,23719.925473741376,20934.617574663695,23132.070506177613,20930.344756780116,18988.767430342778,19379.365396347006,20891.419504535737,20681.578827591842,17893.62236881145,0.927335115996274,364292647.0,9.985681295394897,369995879.0,10.1585373878479,,,463182530.0,13.417925834655762
53,,,,,,,,,,,,,,,,566963758.0,11.260651350021362,620324278.0,13.223756790161133,622139825,13.300420045852661,23333.828235938432,21393.317446781686,24178.87960610845,21292.045408607206,23539.708880706683,21349.076112420178,19382.118199503024,19723.915397579265,21278.71970742418,21083.66921616921,18237.867567924477,0.9549786773594943,482649094.0,9.164073944091797,492929708.0,9.377553939819336,521799873.0,10.011629104614258,590538955.0,12.057600259780884
54,,,,,,,,,,,,,,,,459290755.0,11.145812273025513,515021386.0,13.066162109375,514574610,13.05037260055542,23755.72240234866,21693.18442670115,24577.125712511202,21700.680635633664,23950.67057396552,21809.7854886818,19714.623368598983,20076.037453643265,21670.984522898147,21463.609655252734,18477.398537109915,0.9556809717958624,425084727.0,10.153520107269287,435163742.0,10.425217151641846,,,526644464.0,13.642125844955444
55,,,,,,,,,,,,198254680.0,3.759239912033081,,,492216636.0,10.73586130142212,548491516.0,12.623449563980103,554009568,12.840375185012817,24169.630214930734,22110.212203459276,24985.49044170963,22126.820148604198,24361.721828352867,22154.352198064556,20053.789713098427,20441.008580239803,22073.410648971923,21815.041812105144,18857.270035163598,0.9319795099171725,471664870.0,10.169618606567383,484403790.0,10.496015548706055,,,571987976.0,13.675005197525024
56,,,,,,,,,,,,,,,,,,574959954.0,20.59300708770752,457495777,13.263630867004395,24659.96303235312,22641.597571624872,25491.51620996515,22598.080403143285,24860.612396107692,22620.2455279616,20448.373957417694,20937.44989063545,22632.002258166143,22334.45464748103,19248.687251906256,0.9281388737938621,359112301.0,9.910398244857788,371117581.0,10.249449729919434,,,462529456.0,13.469607830047607
57,,,,,,,,,,,,,,,,,,,,411579513,14.299198627471924,25057.972381199375,22921.858135146398,25900.649667689282,22900.45483872961,25257.35194485741,22877.308336142367,20767.495698565424,21235.93459036587,22947.147104829925,22682.606050042614,19542.548646299314,0.9253057024695657,306273691.0,9.78289532661438,312295282.0,9.992778778076172,,,391001929.0,13.195639848709106
58,,,,,,,,,,,,,,,,494375687.0,10.895333290100098,,,543503491,13.172258853912354,25468.14766378921,23195.231498197878,26310.937662032524,23293.37204588993,25701.946152291446,23266.594324030953,21127.940963562483,21493.37911443753,23248.98842871137,23058.14263763472,19893.042551938084,0.94978036663749,422954972.0,8.90796160697937,431256587.0,9.088062047958374,458756333.0,9.747668266296387,513447477.0,11.63127851486206
59,,,,,,,,,,,,214069948.0,3.842367649078369,,,,,582397191.0,12.947115898132324,587003258,13.173004388809204,25861.024360445874,23628.193113064834,26705.12917177581,23656.37200419241,26115.999952644852,23795.682989150995,21509.79050508072,21943.168435270385,23627.891076680797,23450.226435572702,20270.247116442595,0.9778908274390481,460000654.0,9.012448787689209,473147959.0,9.299225568771362,496358226.0,9.874931812286377,554918684.0,11.851612329483032
60,,,,,,,,,,,,196045335.0,3.781327724456787,,,490631068.0,10.765728950500488,546460942.0,12.684490203857422,551886588,12.876875638961792,26261.727458221216,24146.50885554471,27103.516009460567,24058.311858089735,26540.39622873757,24207.63989090494,21848.594570694557,22310.287659717997,24034.16082178958,23810.474992159317,20586.373747646518,0.9698381315578114,469694721.0,10.196986675262451,480316519.0,10.468373537063599,,,569875738.0,13.720741271972656
61,,,,,,,,,,,,,,,,458280749.0,11.10046911239624,513023711.0,12.990758419036865,642012639,20.63454246520996,26878.695398121396,24639.40452626731,27699.966539964236,24591.918900558874,27178.84831831688,24621.27324763476,22325.217451613462,22747.039062928874,24509.325741748595,24244.50297981849,21041.81642737652,0.9364704056219622,423814466.0,10.13908314704895,641352545.0,20.568780183792114,,,529058521.0,13.73924732208252
