,sta0_datasz,sta1_datasz,sta10_datasz,sta2_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta3_datasz,sta8_datasz,sta9_datasz,sta7_datasz,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta10,training_time_sta10,host_consumption_sta6,training_time_sta6,host_consumption_sta1,training_time_sta1,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta1,consumption_sta0,consumption_sta5,consumption_sta3,consumption_sta7,mean_acc,host_consumption_sta0,training_time_sta0,host_consumption_sta5,training_time_sta5,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2
10,,,,,,,,,,,,170756337.0,3.6345958709716797,,,,,,,403079230,9.796167135238647,495711377,12.90670108795166,4841.493041323227,5389.066982577471,5579.3036495266515,4810.047529368067,5398.2169678509445,4971.2755686064165,4107.481561495942,4278.747794265448,4786.456377463455,4652.771481680458,4455.407057101843,0.856846194375645,415733372.0,10.157532691955566,490816248.0,12.701860427856445,510535070.0,13.603732824325562,,
11,,,,,,,,,,,,216840754.0,3.8579394817352295,,,,,,,460399822,8.921149969100952,593531562,13.156799554824829,5365.308839570509,5821.316589636438,6024.112726421297,5232.363895713175,5929.190104616943,5254.277926921704,4451.540342876545,4642.838525336328,5184.530924925005,5053.0446516596585,4817.822225338177,0.9208334007046439,477065856.0,9.28827166557312,590268326.0,12.997593402862549,562985803.0,11.944568157196045,500092836.0,9.849684238433838
12,,,,,,,,,,,,,,,,,,,,413844461,8.803777694702148,553498156,13.466638565063477,5776.072310296945,6221.1611973002055,6484.302610843281,5746.311563174678,6260.921471351144,5529.274719301314,4820.753551971768,4997.399254621307,5542.048865847096,5467.733228955812,5149.027632193962,0.9259441007267345,427283758.0,9.112742900848389,554036057.0,13.47742509841919,510819065.0,11.715754747390747,471012527.0,10.394358158111572
13,,,,,,,,,,,,,,,,,,454911250.0,10.961517333984375,417247651,9.93964958190918,515314171,13.088730573654175,6074.186482559795,6574.100150611186,6944.887668479852,6146.970621492983,6691.963160289668,5869.986866748588,5140.0150966602005,5349.137686001695,5925.967530731188,5836.924787602249,5497.312464653611,0.8979086659171365,432727164.0,10.331069946289062,510120825.0,12.887819766998291,529847521.0,13.77670669555664,,
14,,,,,,,,,,,,,,,,,,455310968.0,11.025650024414062,417451935,9.989197731018066,640354073,20.6247456073761,6445.989962093059,7185.503225475354,7589.385576514119,6565.434778393966,7329.980432545959,6406.410443691239,5590.2924202939475,5830.502283135296,6401.670556857859,6362.078445110389,5933.037676731924,0.8613243130120364,433750904.0,10.428208589553833,512200044.0,12.967456340789795,527901481.0,13.725077629089355,,
15,,,,,,,,,,,,199411843.0,3.803879499435425,,,,,487455417.0,10.689262866973877,459656539,9.97450065612793,552856616,12.919122457504272,7080.952107597522,7795.025124147944,8207.018003205116,6978.994294638537,7918.628488955814,7042.917939670749,6035.251634849468,6313.041617111219,6965.091623740076,6809.563793476061,6460.03951892223,0.888661492954601,685538345.0,20.62646985054016,546653569.0,12.66917109489441,571832826.0,13.811161518096924,,
16,,,,,,,,,,,,,,,,,,560318878.0,11.245611429214478,469981951,9.040387153625488,737410344,20.656984567642212,7651.190104295634,8367.028082071818,8713.06217916463,7636.444914854528,8474.034604879376,7662.3153580160015,6447.133092947465,6772.778194856881,7529.904259000814,7369.374450795145,6974.837509946961,0.9179354662244971,491451134.0,9.455159425735474,613945206.0,13.176074743270874,587203636.0,12.142815828323364,514553493.0,9.971211433410645
17,,,,,,,,,,,,,,,,,,,,358311277,9.815466165542603,459714826,13.30625319480896,7924.9212135313355,8707.121660662431,9112.169090304293,8031.434999396138,8812.313729773356,8021.789046179751,6748.865841351391,7110.851242729175,7906.578609875702,7717.510780057638,7298.625090754248,0.9034208980473605,368100010.0,10.111908674240112,464166964.0,13.476700067520142,466523769.0,13.567943334579468,,
18,,,,,,,,,,,,172163622.0,3.659418821334839,,,,,,,401598093,9.822035312652588,493246723,12.917215347290039,8323.095356069856,9113.781727227746,9515.175106617164,8311.05576310722,9240.39270280457,8362.929202184707,7061.509632235951,7441.441518185738,8313.012292671032,8074.110323787033,7664.088799664579,0.9000100818547335,414059547.0,10.202514410018921,486133033.0,12.646307229995728,507187117.0,13.554026126861572,,
19,,,,,,,,,,,,,,,,,,,,296614536,9.524864196777344,407485956,14.326460838317871,8723.109417396263,9504.698155507793,9948.400104385111,8591.75846398692,9665.050787359036,8689.308597923116,7370.736804527178,7769.634883635654,8636.483274774459,8426.177562180637,7922.131976778573,0.9000840566375039,305564342.0,9.83788251876831,,,386704699.0,13.236534833908081,,
20,,,,,,,,,,,,,,,,,,,,411161911,8.74239468574524,552149221,13.477178812026978,8988.278386628821,9922.447671647862,10347.291275054016,8995.568883127145,10060.832090987153,9021.634344633445,7709.766771115697,8125.885053174336,8976.049144845358,8800.620438156147,8242.26584019073,0.9190628907897256,427056280.0,9.102676153182983,553179004.0,13.515795946121216,510361792.0,11.731379747390747,448785350.0,9.657028913497925
21,,,,,,,,,,,,213919863.0,3.820828676223755,,,,,,,452909119,8.80211353302002,586835351,13.113404750823975,9462.29616788341,10322.454281089153,10747.455852352066,9544.54217123353,10452.016793405457,9363.296124388738,8081.741043595883,8519.32836956332,9356.875611709866,9192.20322261153,8582.26139161684,0.9471334056420759,472811595.0,9.251015424728394,583610506.0,12.951859474182129,557337257.0,11.910760641098022,495627271.0,9.826884269714355
22,,,,,,,,,,,,,,,,,,454471432.0,10.950997829437256,416743868,9.94091796875,516257590,13.058284282684326,9879.983253706048,10730.688223803427,11151.984138003418,9927.787082551054,10846.84551772021,9648.722745925623,8410.249634847947,8861.358630089784,9666.827095691502,9550.899601924277,8933.959752029601,0.928846846927296,435538558.0,10.415938138961792,512586151.0,12.912791728973389,529677355.0,13.706629991531372,,
23,,,,,,,,,,,,,,,,,,-261502004504.0,20.592534065246582,-261710981691,10.3530113697052,-261627797578,13.095754623413086,10321.787201255229,11333.249802185208,11844.218791300767,10272.406804310118,11426.96818318499,10271.31607216248,8789.45669290985,9347.843491580004,10255.816755487349,9980.794485409839,9457.045408257716,0.8944079550829801,-261711123658.0,10.347622394561768,-261633677934.0,12.87055492401123,-261615971436.0,13.683366537094116,,
