,sta0_datasz,sta1_datasz,sta2_datasz,sta4_datasz,sta3_datasz,sta10_datasz,sta5_datasz,sta6_datasz,sta8_datasz,sta9_datasz,sta7_datasz,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,host_consumption_sta3,training_time_sta3,consumption_sta8,consumption_sta4,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta7,consumption_sta5,consumption_sta0,consumption_sta3,consumption_sta1,consumption_sta6,mean_acc,host_consumption_sta2,training_time_sta2,host_consumption_sta4,training_time_sta4
20,,,,,,,,,,,,471278701,9.011590719223022,487401828,9.380233764648438,555676495.0,11.122670412063599,610619653.0,13.182302474975586,610619531,13.179455280303955,581251015,11.986124038696289,9937.158189674656,9275.134628886643,10339.438378259058,9114.6046211892,10407.198654778731,8457.112360877105,9005.437475105546,8241.139881272014,8971.785517806615,7896.332974328598,9126.750200888722,0.9288398623466492,514763514.0,9.980501890182495,,
21,,,,,,,,,,,,470262712,9.033640146255493,486470373,9.391861915588379,553494067.0,11.150303840637207,610888573.0,13.264936923980713,609748928,13.204636573791504,579514081,11.98363208770752,10345.338263433641,9576.777249691257,10789.39479245959,9608.41164767566,10809.6920172731,8806.91302181057,9387.58853676269,8614.732098918168,9372.574539313458,8262.819082562597,9542.874510154108,0.9435147805647417,510055518.0,9.927438020706177,,
22,,,,,,,,,,,,410415941,9.876008749008179,427691654,10.334996223449707,632772062.0,20.62314248085022,508671977.0,12.998732089996338,508188397,12.980462789535522,520750803,13.591312885284424,10958.90696527506,10102.445437218104,11447.195111471014,10082.377413176484,11380.487658662594,9330.240762936166,9961.630604114653,9037.92058185138,9848.57922127972,8646.573404055469,10156.524580285099,0.922796525738456,,,,
23,,,,,,,,,,,,415895603,8.817404508590698,430359189,9.14026427268982,,,553542406.0,13.447441339492798,551980154,13.392170190811157,507845685,11.628764152526855,11382.735931811501,10360.884890924886,11789.724585647293,10479.380193609502,11834.844445833503,9650.370048124514,10333.740751247158,9374.43854203901,10229.2240599601,8964.22256695011,10498.9936689196,0.9289745580066334,449772347.0,9.62837553024292,,
24,,,,,,,,,,,,399002885,9.760578632354736,411300522,10.149230003356934,,,490824854.0,12.84104609489441,490199733,12.821314334869385,504624440,13.478837013244629,11831.138756976445,10758.49658744109,12364.02941800219,10874.5677168466,12273.354686443608,10007.447646715,10731.848830699191,9707.139830742595,10603.526688105607,9288.410245680312,10801.528202603624,0.9474367607723583,,,173653608.0,3.687049627304077
25,,,,,,,,,,,,468929281,10.115479469299316,482362596,10.445499420166016,488193819.0,10.603434801101685,550244929.0,12.703224182128906,549697873,12.687093496322632,571229739,13.667037963867188,12280.209023437526,11273.630595123836,12821.829795333866,11159.224389870595,12727.868564811071,10370.949891910355,11130.48929074717,10022.935116915933,10953.089795247071,9595.748964978478,11167.244843827977,0.9233156280084089,,,199465371.0,3.8145065307617188
26,,,,,,,,,,,,472715770,9.05785584449768,490735926,9.40968132019043,556323283.0,11.101150751113892,614167800.0,13.241387367248535,613171648,13.195998907089233,584840971,12.053481101989746,12681.488996882064,11678.909383878039,13291.015049041087,11568.720142084056,13132.315368387133,10718.342498379627,11506.957136560823,10368.28947489362,11358.444208781102,9936.012937429552,11591.631802734548,0.94158766486428,514375942.0,9.92753291130066,,
27,,,,,,,,,,,,472421093,9.028973579406738,488718780,9.376832485198975,556985452.0,11.156388521194458,614371474.0,13.260780334472656,613563615,13.225993156433105,581966162,11.972322463989258,13084.719588291711,11986.427962163669,13729.66064249682,12110.372470278831,13595.960394077261,11064.558748542257,11895.481818786413,10833.349757404949,11789.011812533005,10266.597720958312,12006.023154974875,0.9562451351772655,514803126.0,9.945231676101685,,
28,,,,,,,,,,,,458787094,9.957364797592163,476173585,10.408148527145386,483338729.0,10.60007119178772,546139532.0,12.682422876358032,547603396,12.73028564453125,569861212,13.765928030014038,13470.768037926793,12408.431864436683,14195.051796198586,12558.729633465844,14030.664189815261,11423.500321461957,12306.028583490815,11171.208083276651,12158.55542905395,10587.57199199125,12435.727532530658,0.9537042054263029,,,198337627.0,3.811410665512085
29,,,,,,,,,,,,400883800,9.770153284072876,411660750,10.087727785110474,,,622439508.0,20.627211570739746,487813204,12.686378955841064,504124136,13.43076229095459,13969.786324909399,13166.393545944738,14726.521744798298,13045.702758427995,14558.697386526735,11952.161012114355,12887.856231601465,11599.24682714908,12683.827515053876,11034.87590588713,12935.15604428113,0.9178906895897605,,,173858502.0,3.7078192234039307
30,,,,,,,,,,,,412202375,9.954095602035522,425597605,10.302199602127075,447753614.0,10.937233686447144,507037642.0,12.986092805862427,506731002,12.976540327072144,519794690,13.590965032577515,14380.677207945204,13596.470317721314,15120.281157933336,13315.327692229312,14955.816188516754,12302.41676922092,13249.356045125736,11907.640386678699,13030.189717014402,11329.075944516704,13307.810931442402,0.9222699078646573,,,,
31,,,,,,,,,,,,470556046,8.988199472427368,484369671,9.290697574615479,555865032.0,11.098461389541626,612591388.0,13.177785634994507,610994102,13.114867687225342,584408965,12.02112865447998,14765.352550375932,13890.117881921826,15509.387781132138,13727.292451418534,15375.800143479857,12653.874758581838,13637.718329108991,12265.512072523497,13425.872711582326,11678.994835398305,13747.576120196414,0.9397692680358887,516864033.0,10.00336766242981,,
32,,,,,,,,,,,,354524361,9.778195142745972,373017539,10.337553024291992,,,576118948.0,20.593793392181396,455673699,13.223718404769897,576197011,20.5942280292511,15352.827520350085,14241.746041708178,16134.035768274094,14249.42442326433,15997.793095470905,13099.93196475715,14100.20180842478,12779.706922036481,13880.229169149023,12147.120931836234,14165.279575501505,0.9435653253035112,,,,
33,,,,,,,,,,,,411249862,9.89179539680481,428831788,10.347902536392212,451654789.0,10.95722508430481,510904149.0,12.964463710784912,510041296,12.934476375579834,525542722,13.658393621444702,15733.408633461984,14571.801106350948,16533.32575505811,14516.033006569023,16396.18230276583,13436.513640420517,14479.053500026337,13112.338563375588,14230.5787094995,12444.669126641242,14500.213384709656,0.9125130718404596,,,,
