,sta0_datasz,sta10_datasz,sta2_datasz,sta1_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta8_datasz,sta9_datasz,sta6_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta8,consumption_sta4,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta5,consumption_sta3,consumption_sta0,consumption_sta7,consumption_sta1,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2,host_consumption_sta4,training_time_sta4
35,,,,,,,,,,,,,,461166971.0,11.096731901168823,,,513189116.0,12.91210389137268,517048909,13.048047542572021,15261.002721261299,13880.550761197239,15637.299495967285,13907.369349546057,15593.3593805154,13847.127435483746,13874.206587509952,13562.466078311512,12538.672847162297,12841.489345691136,11748.79723038454,0.9129978580908342,415585972.0,9.874444246292114,435760298.0,10.39663028717041,531198347.0,13.70305585861206,,,,
36,,,,,,,,,,,,,,684579424.0,20.610363721847534,,,684877214.0,20.62423872947693,551663871,12.852029800415039,15887.948855333743,14434.33608411477,16214.448867090836,14333.353136416983,16177.783715669177,14391.096869667505,14377.072895568366,14082.762374113987,13021.694581888241,13381.401870234768,12202.578541944738,0.9166460633277893,460439251.0,9.944890022277832,481766040.0,10.484192848205566,568978463.0,13.670310974121094,,,200089759.0,3.816883087158203
37,,,,,,,,,,,,,,736817633.0,20.623521327972412,,,612848468.0,13.143737554550171,615625316,13.27627968788147,16469.913064129803,15055.791761448958,16787.399279424193,14928.291117779256,16746.733501726296,14991.963893971084,14936.533980042193,14585.85496385722,13562.514523132983,13896.653000705604,12682.837074298717,0.9465857364914634,468960042.0,8.94048547744751,489147978.0,9.393502235412598,736948797.0,20.629409790039062,530124620.0,10.372685670852661,,
38,,,,,,,,,,,,,,,,,,558462316.0,13.576431512832642,556488322,13.500461101531982,16849.63253763594,15323.932594061689,17194.826896228602,15436.915675062313,17158.413294467973,15326.723053998945,15286.842315177897,14962.905303474472,13913.359095901758,14225.136541012333,12947.193462776977,0.9583248875357888,412561261.0,8.755917310714722,430473691.0,9.16074275970459,512099214.0,11.718841075897217,453491454.0,9.713515996932983,,
39,,,,,,,,,,,,,,488281648.0,10.59385061264038,,,547869264.0,12.633643627166748,554332260,12.87776780128479,17241.219468745,15743.009656309192,17661.475860072693,15906.128693117678,17545.372769369533,15705.773986464228,15690.41302495095,15334.821222041359,14244.15329635551,14591.488699116298,13359.062215862928,0.9570865143429149,463886141.0,9.961108684539795,483882856.0,10.456116199493408,573020506.0,13.755770683288574,,,197275374.0,3.7776336669921875
40,,,,,,,,,,,,,,455811150.0,11.118464946746826,,,510292273.0,12.97104287147522,515939353,13.171623468399048,17622.6888344908,16164.977952714238,18090.976486467138,16243.056658530078,17951.487183520065,16127.525132600353,16090.08094333621,15685.534994008736,14595.077725507681,14939.75546750506,13586.797040513562,0.922321693463759,412552167.0,9.895020246505737,429939207.0,10.352469205856323,527591118.0,13.731505632400513,,,,
41,,,,,,,,,,,,,,,,,,463575290.0,13.425715446472168,457597583,13.197893857955933,18011.212322193493,16456.453830978193,18438.7078164117,16593.613355045876,18380.560284973824,16480.72297309605,16469.007254958662,16035.841853950966,14858.940424729748,15278.913445835635,13889.329352859195,0.9162138375368986,358575376.0,9.802120447158813,369301545.0,10.124526739120483,466461209.0,13.537862062454224,,,,
42,,,,,,,,,,,,,,,,,,,,411650436,14.383479356765747,18420.008881044752,16733.468026984447,18905.354218547363,16882.265999394967,18728.098655133792,16735.650073228753,16781.544712411804,16392.344108824323,15173.520626293948,15594.686049593349,14196.118313163784,0.9141686071049083,297159823.0,9.482446908950806,311960749.0,10.004507064819336,389173809.0,13.259650945663452,,,,
43,,,,,,,,,,,,,,422638505.0,10.347925186157227,,,,,481067494,12.732809782028198,18850.102457964822,17130.008787336596,19345.869750098234,17158.972108547023,19154.774271680242,17077.781887718018,17089.301497826353,16738.292951412684,15495.936625958542,15947.279030493626,14503.251093569444,0.9235408197749745,402658271.0,9.78633999824524,421121969.0,10.310549259185791,496433544.0,13.466511964797974,,,172999618.0,3.674901247024536
44,,,,,,,,,,,,,,488938689.0,10.660276174545288,,,548480529.0,12.691648244857788,553047473,12.871384620666504,19289.691411083943,17668.845466580173,19812.124756121666,17443.152860975362,19580.253170382737,17505.358402300408,17448.184237466437,17089.916671191717,15821.887196278893,16318.107333624488,14811.546535272459,0.9319600517099554,463978487.0,10.028004169464111,483483687.0,10.527360200881958,571400453.0,13.741896629333496,,,196763168.0,3.774881601333618
