,sta0_datasz,sta10_datasz,sta2_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta1_datasz,sta9_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta10,training_time_sta10,host_consumption_sta7,training_time_sta7,consumption_sta8,consumption_sta4,consumption_sta0,consumption_sta1,consumption_sta10,consumption_sta6,consumption_sta2,consumption_sta3,consumption_sta5,consumption_sta9,consumption_sta7,mean_acc,host_consumption_sta4,training_time_sta4,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta3,training_time_sta3,host_consumption_sta5,training_time_sta5
31,,,,,,,,,,,,190912170,4.301573276519775,,,511852754,12.702957391738892,21400.854138663788,24230.310748027732,28823.536658801302,28763.24567296887,24868.93458502256,19888.32290449725,28862.22136410286,18531.377144867227,18596.081633750895,23954.3913745602,16665.285390002624,0.9881809949874878,,,437083049.0,10.439111948013306,,,499975099.0,12.2877037525177,504436697.0,12.417226076126099
32,,,,,,,,,,,,189341679,4.274635553359985,,,512785492,12.823916912078857,21893.891855370934,24850.931211799576,29720.520812931292,29480.01795667329,25597.189219479707,20401.548710046085,29559.2265849171,18980.628828028253,19085.30525021711,24618.12932733509,17064.063216998562,0.9878446351398121,,,436821574.0,10.469720125198364,,,500198304.0,12.351285219192505,503460992.0,12.43923020362854
33,,,,,,,,,,,,189440310,4.229650974273682,,,674006637,20.583571434020996,22772.798997673654,25840.195683002825,30753.766552488043,30761.78731693877,26464.548303988988,21218.344505629335,30872.83984915604,19722.154859888553,19805.089295239522,25454.810306947416,17770.06661097758,0.9881314797834917,,,439011022.0,10.488611936569214,,,503134759.0,12.367295742034912,505589709.0,12.434909105300903
34,,,,,,,,,,,,190291200,4.337770700454712,,,508068340,12.702976703643799,23259.540170351305,26384.753671834595,31517.952904388676,31464.267852995723,27303.312778382275,21628.87917591399,31637.680563332575,20117.649067882536,20179.46168309853,26169.88688660207,18112.554906500915,0.987897975878282,,,436135297.0,10.509697198867798,,,499399966.0,12.369471311569214,501883664.0,12.447160720825195
35,,,,,,,,,,,,189015324,4.23065447807312,,,513770779,12.817813873291016,23747.42360924658,26963.794672337,32426.988407721332,32431.158214146668,27892.360209547198,22087.980984474187,32487.570996323942,20669.097289805875,20608.957483651266,26690.796080468765,18528.89513341081,0.9878513379530474,,,437520792.0,10.4669668674469,,,505393787.0,12.445692777633667,505217335.0,12.451140403747559
36,,,,,,,,,,,,190137392,4.268434762954712,,,515050378,12.820169448852539,24208.20400845947,27716.03457945086,33194.19530443183,33125.152103410685,28474.551455878805,22654.753379901602,33242.31339488069,21156.357535467447,21146.43262222927,27297.75045148678,19039.0147270666,0.9882895458828319,,,438138099.0,10.463083505630493,,,503398126.0,12.371695280075073,504242484.0,12.389792919158936
37,,,,,,,,,,,,191765378,4.292525768280029,,,511340427,12.775865077972412,24817.1786281624,28305.483696187835,33901.18054440925,33762.28511278821,29136.846246680776,23155.99813572035,33856.57291749023,21592.416055058377,21608.934359898918,28034.561803009376,19463.555205127246,0.987861384044994,,,436072920.0,10.437970876693726,,,500935485.0,12.37260627746582,503551323.0,12.450352191925049
38,,,,,,,,,,,,191076659,4.276514291763306,,,515523094,12.85846471786499,25335.666606782423,28872.843429431126,34841.044171791225,34494.533877713526,29955.467182197084,23611.935923049958,34652.24952742194,22015.711791106285,22040.31672560344,28688.40184254834,19870.450501723117,0.9877065528522838,,,438587439.0,10.456254243850708,,,504606435.0,12.416561841964722,504313406.0,12.405220746994019
39,,,,,,,,,,,,188146003,4.200308561325073,,,674211470,20.580156564712524,26061.147002967646,29937.643360057118,35975.12212392397,35853.733778604306,30934.698065543555,24434.735229723745,35971.61661155923,22734.52153567345,22813.752473646644,29601.319127670897,20553.816492979655,0.9881505966186523,,,444050743.0,10.576076984405518,,,504693411.0,12.354952812194824,505510547.0,12.397363424301147
40,,,,,,,,,,,,189709170,4.300689220428467,,,514135525,12.849249124526978,26665.310002631253,30501.039433906626,36704.63275197496,36602.41121101489,31506.859395961397,24953.05485824893,36648.54576696342,23146.67151521829,23273.504413669732,30206.540154410228,20968.535567431394,0.987996285611933,,,436548260.0,10.499893426895142,,,501251768.0,12.369650840759277,506217210.0,12.529359102249146
