,sta0_datasz,sta10_datasz,sta2_datasz,sta3_datasz,sta5_datasz,sta4_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta9_datasz,sta1_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta4,training_time_sta4,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta9,consumption_sta2,consumption_sta6,consumption_sta0,consumption_sta1,consumption_sta3,consumption_sta5,consumption_sta7,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2
22,,,,,,,,,,,,,,,,558119055.0,11.157830715179443,736926580.0,20.67884087562561,614677260,13.228675127029419,9303.364644603156,10109.228927299475,10594.972867669701,10106.671672654174,9124.471441143494,9191.12217121766,8394.377827016404,7817.930010409064,8924.720873686252,9133.283750316918,8435.068036940549,0.9868360649455677,472701244.0,8.997402429580688,488555939.0,9.362708568572998,586287989.0,12.107687711715698,517716693.0,10.013611316680908
23,,,,,,,,,,,,,,,,553783433.0,11.153492450714111,732817582.0,20.63174057006836,610152491,13.15672254562378,9728.005301384414,10728.78369759174,11098.835975301048,10695.850750261065,9890.730917937208,9803.56660414967,8832.516309825323,8268.58392510462,9504.092716292187,9696.484051044923,8945.615390678948,0.9869137785651467,466069303.0,9.004440546035767,486213416.0,9.414132833480835,585062467.0,12.185602903366089,510519384.0,9.931796550750732
24,,,,,,,,,,,,,,172810592.0,3.681295394897461,,,621211178.0,20.621248245239258,487552585,12.814570426940918,10368.205495711296,11220.182746935314,11772.589317871783,11204.34370739998,10407.069236581914,10245.574460745343,9304.202190925193,8717.767541685838,10037.726294551372,10284.023120781847,9386.930807773331,0.9867680668830872,401672739.0,9.88395643234253,409984546.0,10.135689973831177,501248900.0,13.425854444503784,,
25,,,,,,,,,,,,,,,,391018957.0,10.677022457122803,,,570755558,20.604533910751343,10847.831850209857,11826.856583436902,12359.237044705798,11800.493538477009,10742.683014475897,10778.989110888537,9775.313372891786,9079.084717312451,10477.310677149228,10690.392011425249,9884.23483414655,0.9874092557213523,362326220.0,9.798656702041626,372531090.0,10.091724634170532,453288390.0,13.286444187164307,,
26,,,,,,,,,,,,,,,,,,557886877.0,13.725243330001831,548942686,13.343335151672363,11098.601484593373,12195.096948898869,12711.963145008955,12218.326762945666,11135.572546328509,11123.216096355118,10029.598452671511,9369.582417538826,10867.687480381444,10994.732287177427,10201.059398698993,0.9870842099189758,407575495.0,8.671919107437134,427792911.0,9.12056016921997,508240216.0,11.72131633758545,447641921.0,9.62497329711914
27,,,,,,,,,,,,,,,,,,461703713.0,13.575809478759766,453388732,13.21291995048523,11457.23137995125,12711.593200439074,13379.579724535422,12762.895748418927,11696.170515733547,11478.405098954718,10533.904815492326,9830.754260783595,11410.663322081879,11458.629226488769,10613.039577588292,0.9874168851158835,355860173.0,9.846097230911255,363194565.0,10.049666404724121,574267634.0,20.60914373397827,,
28,,,,,,,,,,,,,,192578548.0,3.748384952545166,478875117.0,10.550586938858032,549520200.0,12.94234013557434,548114258,12.891178131103516,12123.182891904611,13314.536508951554,14039.973939881958,13365.025156875829,12103.95393865408,12005.678439362136,11014.626129283875,10270.761613710247,11837.660905950195,12043.505066665153,11155.895211802293,0.987340428612449,459761885.0,10.053398847579956,473269235.0,10.408594369888306,680908657.0,20.654040813446045,,
29,,,,,,,,,,,,,,,,556811258.0,11.194229125976562,614925184.0,13.357433080673218,611946066,13.219901084899902,12552.259695079916,13704.710338517103,14457.854058393796,13750.951646497957,12491.944678840864,12411.653353130374,11371.377974566012,10522.087508169036,12217.165206905447,12417.362080262817,11503.217996121011,0.987754144451835,469681781.0,9.028789043426514,491825951.0,9.467487812042236,585381863.0,12.15178894996643,513854153.0,9.946115732192993
30,,,,,,,,,,,,,,,,450305427.0,10.935694694519043,516519674.0,13.167908668518066,639659129,20.646395683288574,13008.375686025398,14214.966662643725,15045.360251035107,14222.007017597594,13085.907434156257,13037.091805825896,11779.572439522013,11008.226044934403,12759.293763693515,12996.37464812769,12019.653258798324,0.9880684397437356,416579317.0,9.982272148132324,428210940.0,10.27783203125,525570126.0,13.611399173736572,,
31,,,,,,,,,,,,,,171047475.0,3.701956272125244,,,486289100.0,12.99989104270935,481381824,12.810076475143433,13394.409224218969,14609.003917431228,15447.69744012802,14638.825008535163,13349.387993597824,13408.549124409512,12099.22918966869,11301.565589163903,13100.384035732197,13391.599394201876,12378.75487450323,0.987955245104703,395504908.0,9.88309907913208,404282657.0,10.149718523025513,493345234.0,13.346656560897827,,
32,,,,,,,,,,,,,,,,,,,,502004269,14.308355569839478,13777.528241675793,15135.856570047566,15822.729254313093,15052.58229694498,13761.549035375157,13699.177636183678,12471.58484117441,11647.980738150143,13480.51213027188,13698.432256092052,12725.609370086873,0.9881093935533003,359412287.0,8.451404333114624,373450582.0,8.819153308868408,440997467.0,11.264628887176514,396583091.0,9.49656057357788
33,,,,,,,,,,,,,,,,450110847.0,10.921649932861328,514891626.0,13.161202430725098,510293066,13.00327730178833,14071.349640327611,15462.44418064286,16235.647668155294,15483.533366968124,14175.115373055223,14025.4384879711,12818.699342715376,11975.191682544742,13838.029203600641,14020.122533493592,13064.849415099048,0.988144040107727,417027496.0,10.025906801223755,429530089.0,10.342545747756958,523895082.0,13.594184875488281,,
34,,,,,,,,,,,,,,194262259.0,3.774486780166626,482120226.0,10.561871767044067,551601554.0,12.935860633850098,549493405,12.865679740905762,14486.839682389083,15885.096985021151,16681.918080478838,15911.478709872632,14455.298646786487,14454.092561381176,13144.738762566245,12281.459577440448,14186.887718494754,14418.641472323763,13416.062498633435,0.9883688254789873,464675507.0,10.117853164672852,474732732.0,10.377004146575928,567454541.0,13.679323196411133,,
35,,,,,,,,,,,,,,,,557318031.0,11.189138412475586,615332287.0,13.36237621307373,611141441,13.192468881607056,14917.16590163745,16337.784786885279,17142.298705979745,16375.586258816003,14868.334640724657,14870.217167198636,13516.773769492882,12638.887225684799,14565.995426720445,14803.612917130731,13755.719006820545,0.9884889450940219,469537189.0,8.998037815093994,490685573.0,9.430422067642212,583235202.0,12.06547236442566,514683375.0,9.975364923477173
36,,,,,,,,,,,,,,,,563907858.0,11.190492153167725,621111020.0,13.345347166061401,618288701,13.219902992248535,15201.212699399746,16788.213235358853,17591.73228970701,16795.776223179008,15403.419984493368,15286.923988779163,13903.818876523363,12998.32614189153,14989.716237674245,15184.991637352743,14114.155357489075,0.9883213476701216,478030392.0,9.073836088180542,496312512.0,9.448853015899658,591947703.0,12.142518281936646,518989882.0,9.940393686294556
37,,,,,,,,,,,,,,197918256.0,3.7821154594421387,483072983.0,10.516963481903076,553296313.0,12.842703104019165,551055597,12.772207021713257,15606.817141283645,17243.276067913073,18055.54807514583,17222.306210292954,15790.67201502744,15726.645019799313,14243.369929139264,13320.349806179225,15359.359946167066,15588.965873343566,14483.53686096078,0.9884835264899514,467424341.0,10.111327409744263,481433216.0,10.475953340530396,568128795.0,13.534876585006714,,
38,,,,,,,,,,,,,,172169481.0,3.6793081760406494,,,619976867.0,20.609498262405396,489064544,12.841033935546875,16246.087622366602,17888.120583536493,18727.152377827417,17838.928168288592,16204.757028428414,16177.448809169884,14723.035907326841,13775.577907535946,15884.12061193607,16097.78565402281,14927.399340979762,0.9887173988602378,400796703.0,9.868910789489746,410777086.0,10.178213596343994,501363951.0,13.371521472930908,,
39,,,,,,,,,,,,,,,,555197981.0,11.14816927909851,734573803.0,20.62948250770569,611342063,13.198440313339233,16819.622647694814,18457.760176063784,19321.59301295203,18436.554792762585,16797.780569709485,16712.664147438543,15267.183290236073,14245.657970874592,16379.41790280318,16662.21495616974,15459.026015044095,0.9886617823080583,470292742.0,9.030778646469116,490152615.0,9.435876846313477,584754850.0,12.146225214004517,511591952.0,9.919448614120483
40,,,,,,,,,,,,,,,,449569955.0,10.89730715751648,514015652.0,13.08574914932251,638787549,20.62034797668457,17248.262133421806,18932.384144925225,19875.61351620962,18923.057074649572,17380.529941320652,17329.53974806619,15662.676596693815,14614.537995951234,16906.229616273835,17236.747121003384,15959.837772805038,0.9888837500052019,416325473.0,9.974747657775879,428270266.0,10.279013872146606,638905591.0,20.614290952682495,,
41,,,,,,,,,,,,,,167776670.0,3.6519205570220947,,,489407438.0,12.988601207733154,617359565,20.613104343414307,17754.732236482898,19551.464529532226,20518.013268567694,19517.550408272557,17788.238445932053,17750.59878499518,16142.919142137462,15057.680116643634,17430.66654820967,17712.604223077262,16400.736885724753,0.9891329136761752,396569419.0,9.864529848098755,411357650.0,10.331852912902832,498751104.0,13.426542043685913,,
42,,,,,,,,,,,,,,195264698.0,3.8038105964660645,475086248.0,10.48060393333435,680403166.0,20.62607979774475,544926889,12.833975315093994,18560.996947263448,20148.38979309772,21077.116092618242,20092.952675216522,18195.493895712898,18298.02706354695,16622.51481521779,15498.387089361875,17897.361546027234,18286.633225198035,16916.473723570296,0.9889556169509888,459751020.0,10.097123146057129,476055117.0,10.51256513595581,562761621.0,13.680114030838013,,
43,,,,,,,,,,,,,,,,553844591.0,11.095151424407959,615285534.0,13.347458124160767,613341997,13.25834059715271,18938.51778317586,20543.85147514738,21480.636434191783,20491.693997388025,18697.481821173187,18717.708663953206,16981.45010177376,15829.293878642704,18276.64063647277,18669.06664737475,17248.60668196187,0.9886004870588129,470344865.0,9.016743659973145,490798243.0,9.433280944824219,584170075.0,12.06663203239441,514113552.0,9.939193487167358
44,,,,,,,,,,,,,,,,,,560752959.0,13.698110818862915,553882249,13.3909752368927,19286.968435246265,20928.422090805074,21898.593271024307,20901.037953505052,19101.345518436472,19065.42317772884,17350.93433390333,16172.992980180452,18672.731457951664,19044.45461791599,17590.19169634566,0.9889263131401755,408859488.0,8.690386295318604,425019420.0,9.063321352005005,509985816.0,11.665178298950195,451616581.0,9.730738878250122
