,sta0_datasz,sta1_datasz,sta2_datasz,sta10_datasz,sta3_datasz,sta4_datasz,sta8_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta9_datasz,host_consumption_sta10,training_time_sta10,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,consumption_sta4,consumption_sta0,consumption_sta1,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta3,consumption_sta7,consumption_sta9,consumption_sta6,consumption_sta5,mean_acc,host_consumption_sta0,training_time_sta0,host_consumption_sta9,training_time_sta9
67,,,,,,,,,,,,,,444764731,10.094491004943848,502925287,12.122379541397095,48605.801387876156,28166.48385096079,49337.14892305578,48268.867720288734,43696.8139467563,48637.16973297314,49069.17599408237,47324.46206789098,41599.22653457364,33707.041289520064,31274.029943340305,0.9896747036413713,430030332.0,9.756984949111938,459566756.0,10.536841630935669
68,,,,,,,,,,,,,,442788112,10.079174518585205,504299246,12.179526805877686,49231.474930414144,28496.557498279908,50027.45640573715,49054.53938395294,44274.519773209744,49274.272759754334,49744.04986213342,48100.22396836057,42249.82727572405,34237.13601017163,31764.285402796297,0.9895854863253507,429512084.0,9.763252973556519,457847522.0,10.510309219360352
69,,,,,,,,,,,,,,441291168,10.032665491104126,503392754,12.067021131515503,49835.16098958295,28911.548477110187,50791.86090545306,49663.276723510266,44985.30275471362,49977.52838117773,50492.75367385938,48697.43583514951,42812.35672344347,34669.49126452484,32157.49859748439,0.9897357767278497,428088870.0,9.723059177398682,460823650.0,10.600184440612793
70,,,,,,,,,,,,,,442943386,10.094364643096924,503054620,12.155131816864014,50584.68749136148,29232.56378001204,51428.4996267606,50275.73615403716,45542.73549814325,50552.357597225586,51160.03183723352,49422.9131011758,43303.03666927442,35234.18963932963,32654.100781602545,0.9898419596932151,431122858.0,9.814022779464722,459193344.0,10.559578657150269
71,,,,,,,,,,,,,,439258092,10.039475202560425,503635003,12.158729791641235,51222.84703349724,29690.003455452752,52074.0505504843,51043.48143952448,46261.524538229954,51181.33816309266,51787.98249707013,50012.751252011556,43973.71998342839,35659.976754486284,33043.65537592851,0.9899603453549471,449796944.0,10.329628944396973,457448780.0,10.547739028930664
72,,,,,,,,,,,,,,440397371,10.052244901657104,501701963,12.165465354919434,51960.097023341084,30050.25772991237,52836.01337586511,51669.05278596011,46793.824538657216,51966.01118345901,52515.299991519474,50626.67277810502,44499.81285727033,36203.916456297986,33555.48865405368,0.9896218234842474,430963375.0,9.827497482299805,456907278.0,10.567703008651733
73,,,,,,,,,,,,,,439762852,10.060335636138916,685814773,20.59421181678772,52902.92237547596,30620.04577049974,53996.17747787711,52718.10647041523,47801.984857657866,53042.39007981543,53664.6378420942,51689.60712245507,45405.56925379527,36867.28548150301,34139.30818208095,0.9894501783631064,425203806.0,9.706532955169678,455706414.0,10.567180633544922
74,,,,,,,,,,,,,,438533728,10.030309200286865,499805239,12.135225057601929,53740.43606697627,30965.817849631625,54665.12050339933,53361.54965230885,48345.46946138796,53635.51446206964,54272.69480678481,52437.37377915019,45943.22611212453,37392.13483153772,34619.405880674574,0.9899235421961005,427568974.0,9.768081426620483,455230585.0,10.531872510910034
75,,,,,,,,,,,,,,437251322,10.037275552749634,499182194,12.125858783721924,54387.128083792,31402.526860896167,55250.74929044833,54130.392189389306,48988.70467537661,54264.86083549965,54951.32563853171,53041.54884797603,46576.04402622843,37815.27437609136,35030.025063277266,0.9896472800861705,431350276.0,9.861931800842285,455199457.0,10.561611652374268
76,,,,,,,,,,,,,,442352200,10.031103610992432,506023179,12.19784140586853,55185.75408977856,31788.63876873058,56085.932395575524,54765.88934208989,49549.58103286325,54970.92937405216,55679.1999650696,53660.278000661725,47115.53091549938,38252.33384505751,35534.93836376475,0.9894126978787509,430061399.0,9.739479303359985,458431200.0,10.511136293411255
