,sta0_datasz,sta10_datasz,sta2_datasz,sta4_datasz,sta3_datasz,sta6_datasz,sta5_datasz,sta8_datasz,sta9_datasz,sta1_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta8,consumption_sta4,consumption_sta10,consumption_sta9,consumption_sta6,consumption_sta2,consumption_sta1,consumption_sta5,consumption_sta3,consumption_sta0,consumption_sta7,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta4,training_time_sta4,host_consumption_sta2,training_time_sta2
30,,,,,,,,,,,,,,,,,,437021708,13.388060808181763,13148.511706339545,11985.554427906121,13321.294174462342,13346.595754028833,12034.47902711179,11968.044520620195,10167.107646748776,12040.30772145508,11616.372963150368,10899.652307296024,11229.936825770257,0.9877688017758456,341531840.0,9.584101676940918,354928962.0,10.012188911437988,433452748.0,13.20615029335022,147867541.0,3.4984519481658936,,
31,,,,,,,,,,,,,,,,,,500630859,14.414239645004272,13726.318722330501,12417.129815383038,13894.872900278258,13930.629291381416,12386.454535011362,12490.569415287624,10672.400618050917,12369.265681870631,12102.13859418375,11456.646475382853,11625.876310096015,0.9879983880303123,361951161.0,8.533473253250122,371808557.0,8.817952394485474,603397076.0,20.634133338928223,,,392794282.0,9.418792963027954
32,,,,,,,,,,,,,,485858742.0,10.583994626998901,550047787.0,12.715201616287231,553577563,12.85694432258606,14106.293577209464,12795.540685197233,14300.326640419938,14347.319152511773,12725.354364770534,13010.094627268521,10998.522534418766,12699.322817530905,12551.054432862687,11776.260076978475,11968.97509521253,0.987884131344882,467833275.0,10.109433650970459,481300038.0,10.459330320358276,568675364.0,13.56469464302063,196161119.0,3.78904390335083,,
33,,,,,,,,,,,,,,479489983.0,10.55288553237915,543890697.0,12.711737871170044,548175903,12.867433786392212,14506.759088639532,13302.041313196796,14703.334693963707,14759.842917957581,13176.434479713309,13350.816062786953,11298.641639074183,13084.96190793623,12820.156662562105,12104.066190213167,12344.445108220512,0.987831787629561,460951274.0,10.05614709854126,475322025.0,10.443753719329834,564711262.0,13.653411865234375,195679186.0,3.8021047115325928,,
34,,,,,,,,,,,,,,448323254.0,10.894132614135742,509828895.0,12.975832462310791,512230622,13.070878744125366,14911.415292508253,13777.710599615391,15102.194071335865,15147.494122202754,13593.240086008376,13625.318417899298,11600.510379510853,13472.968974699452,13167.146857864058,12424.947806367985,12701.96604816783,0.9879193576899442,429256164.0,10.34600567817688,428377626.0,10.313118696212769,522953923.0,13.593460083007812,,,,
35,,,,,,,,,,,,,,,,463539036.0,13.514049053192139,454921992,13.154224872589111,15301.10210210847,14064.788206772677,15544.058100997088,15562.36668814328,13942.77881612477,13947.89971108769,11828.350503208108,13847.941818386784,13522.403154405092,12748.068790962918,13046.542778979405,0.9877264337106184,354761787.0,9.746470212936401,374061848.0,10.358786821365356,460012067.0,13.343747615814209,,,,
36,,,,,,,,,,,,,,,,462152808.0,13.477932691574097,455331659,13.216036558151245,15689.409360787875,14351.329190716588,15892.98880780392,15853.375051380426,14237.70578491264,14224.761771332329,12127.942975801328,14219.87490550391,13872.432421707965,12997.325205222098,13387.949352612904,0.9877537597309459,355810735.0,9.769205093383789,369047334.0,10.147465944290161,461673867.0,13.450287580490112,,,,
37,,,,,,,,,,,,,,551876273.0,11.052910566329956,734402478.0,20.68864345550537,610583886,13.197740077972412,16189.254542508565,14786.47084389616,16525.96546145582,16457.42488208914,14782.493484766961,14899.022314643078,12643.316657492054,14783.596214081075,14464.404335004712,13551.781452686488,13829.997541710729,0.987531759522178,467989342.0,8.98283052444458,484103375.0,9.335585832595825,581579322.0,12.070015907287598,,,514804774.0,9.987049102783203
38,,,,,,,,,,,,,,484590862.0,10.57010817527771,547312747.0,12.725483179092407,683198325,20.630326509475708,16801.66651285738,15283.82820469239,17116.909793333278,17054.6275963892,15307.679289561855,15436.290310674829,13080.8810007028,15273.23413609132,14990.146524717,14034.116142203196,14374.57153493035,0.988079466603019,464896576.0,10.064066648483276,480860402.0,10.469129800796509,568834482.0,13.708536148071289,197420638.0,3.7964751720428467,,
39,,,,,,,,,,,,,,479812736.0,10.593518257141113,543051649.0,12.735862493515015,545447456,12.82638931274414,17179.436660572082,15832.593141458248,17540.11743211652,17440.985018296244,15737.622789996884,15751.121488539286,13377.045136394468,15656.253815782993,15365.363415960677,14351.925118643314,14725.411975025794,0.9875851598652926,456878835.0,9.998689413070679,473498971.0,10.423823356628418,563790854.0,13.692601680755615,196126695.0,3.8143057823181152,,
