,sta0_datasz,sta1_datasz,sta2_datasz,sta10_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta3_datasz,sta9_datasz,host_consumption_sta10,training_time_sta10,host_consumption_sta1,training_time_sta1,host_consumption_sta9,training_time_sta9,host_consumption_sta3,training_time_sta3,consumption_sta4,consumption_sta0,consumption_sta8,consumption_sta2,consumption_sta10,consumption_sta6,consumption_sta5,consumption_sta7,consumption_sta9,consumption_sta3,consumption_sta1,mean_acc,host_consumption_sta2,training_time_sta2
13,,,,,,,,,,,,,,423051102,8.55019760131836,501087585,10.569922924041748,514170559,11.00941514968872,12191.040775349691,11483.263651067084,11297.327973354999,9988.93384972667,10515.806008478048,11917.098336625248,12031.263975535707,11916.627654435135,9913.195008387358,7670.539823703942,7013.073634747226,0.9836820418184454,493378925.0,10.350054502487183
14,,,,,,,,,,,,414079140.0,7.2960333824157715,485415932,8.75820016860962,549690365,10.410633087158203,574439569,11.289544105529785,13043.21226383583,12205.081021260128,12058.853992310924,10610.279596123697,11149.778489807659,12738.309941407277,12807.447501290586,12790.070813202732,10545.723384456749,8155.617723730398,7464.649045138039,0.9842350916428999,514365504.0,9.397238731384277
15,,,,,,,,,,,,412223249.0,7.246417999267578,487169346,8.783756256103516,554055405,10.5073721408844,575968801,11.281814098358154,13955.371420308922,13015.305511257866,12708.781455047252,11224.836663206774,11877.53997705175,13717.492987097057,13723.670731710685,13502.40574482568,11218.802255799015,8622.876942973842,7883.393833981987,0.9848778247833252,516535360.0,9.404172420501709
16,,,,,,,,,,,,412423627.0,7.275851488113403,485874549,8.756526470184326,553270373,10.506674766540527,574161128,11.22632646560669,14710.737202150196,13698.089487124325,13624.760607505295,11826.991679406274,12492.984500864784,14552.150083284274,14486.52573764748,14594.674296422481,12047.3283559184,9103.588625922373,8328.42802258022,0.984523746100339,517992571.0,9.452521562576294
17,,,,,,,,,,,,416866182.0,7.3191022872924805,491011683,8.77911639213562,555221295,10.470816135406494,579282026,11.286962032318115,15429.61372780417,14616.618753384662,14428.903007729345,12471.044358148834,13387.790867762817,15327.457223863996,15245.669794054465,15381.062886715768,12764.504423166858,9602.871593922291,8820.12056864265,0.9848888949914412,551239250.0,10.351738452911377
18,,,,,,,,,,,,411040268.0,7.223443031311035,547791627,10.316882371902466,552511647,10.461605548858643,574223810,11.203092813491821,16323.752421490923,15388.579173145985,15140.644917476307,13187.059136042284,14014.24220848588,16156.807437933327,16139.514640203033,16150.31019310457,13402.020026058783,10091.146699228853,9254.478947094476,0.9857008077881553,514775049.0,9.389705896377563
19,,,,,,,,,,,,418288663.0,7.321865558624268,489581389,8.76994013786316,554519820,10.456053018569946,577091784,11.273239850997925,17078.83759697795,16180.216468534933,15838.563843254902,13864.938028514389,14641.592996116033,16948.359799431688,16960.934874024733,16985.18019814528,14038.103755529746,10684.661219220809,9709.921861895922,0.9859997034072876,518404435.0,9.422264337539673
20,,,,,,,,,,,,413720865.0,7.254202127456665,484199627,8.718727588653564,550729852,10.414631128311157,572368102,11.18428659439087,18093.93358009398,16888.424721790925,16550.663313217723,14471.589767218804,15287.058381159226,17868.38232803025,17886.204251739557,17786.229807525808,14634.409373823759,11162.18590009775,10128.560472155254,0.9861386689272794,515993430.0,9.416959762573242
21,,,,,,,,,,,,414764686.0,7.321314334869385,485821388,8.744398355484009,552524099,10.454602003097534,573666683,11.177293062210083,18826.157800412966,17578.828842012073,17459.408957897558,15057.072345068409,15933.782829387528,18710.784311342253,18651.067064081213,18765.87717498129,15280.021166741935,11617.809999138408,10528.468569203376,0.9866295131770048,519356824.0,9.469789743423462
22,,,,,,,,,,,,414683142.0,7.29198694229126,489534757,8.779437780380249,554385910,10.502901554107666,575546684,11.238305568695068,19592.130483746954,18326.683436516392,18189.77446821078,15705.089893445955,16755.04653018266,19524.29758617721,19473.465455469093,19576.57529740527,16077.741673748433,12134.94360305997,10981.011855402321,0.9866562268950723,519435621.0,9.43901801109314
23,,,,,,,,,,,,415340001.0,7.312363386154175,548477783,10.318963050842285,553405688,10.465028762817383,576437123,11.24970817565918,20287.30807550448,19270.18197422243,18933.968135934214,16315.203640755155,17387.136794706337,20304.613275016993,20269.555183018507,20410.986106791846,16648.22857155713,12587.887795414834,11542.814699310138,0.986723851073872,517175495.0,9.435588121414185
24,,,,,,,,,,,,415857090.0,7.3302953243255615,487691134,8.7863929271698,552942127,10.503778457641602,575024285,11.272152662277222,21111.710268685947,20020.58592502823,19684.477258244682,17089.753806687117,17968.659887777947,21156.148070937354,21073.365771748606,21262.652255695546,17280.714449167954,13186.689364653816,12014.524137063958,0.9869287664240057,517309650.0,9.439558267593384
25,,,,,,,,,,,,413272136.0,7.255190134048462,489677641,8.804553747177124,554714278,10.460532903671265,786268495,20.598361253738403,22567.335928124063,21200.364080997413,20918.937289418227,18145.767819852026,19052.806382906598,22508.378424011527,22396.06572525339,22546.389225567607,18313.441000401017,14029.274729682744,12689.709525967863,0.9874295321377841,518314103.0,9.421960830688477
